"id"	"Uniprot"	"Symbol"	"iBAQ.Pet309_1"	"iBAQ.Pet309_2"	"iBAQ.Pet309_3"	"iBAQ.Kgd4_1"	"iBAQ.Kgd4_2"	"iBAQ.Kgd4_3"	"logFC"	"t.ord"	"t.mod"	"p.ord"	"p.mod"	"q.ord"	"q.mod"	"df.r"	"df.0"	"s2.0"	"s2"	"s2.post"	"categ_Ord"	"categ_Mod"	"NegLogPvalMod"	"NegLogPvalOrd"
215	"P09440"	"MIS1"	20.5195095630794	20.391314923455	19.7638672104387	20.2923261268361	20.922813754226	20.9655729369008	-0.502007040329929	-1.57282013717798	-1.37219862782628	0.190866521502364	0.21126174449103	0.167423909452626	0.180862978539132	4	3.19307287071189	0.260826814183617	0.152810343879943	0.200759873533822	"Not Significant"	"Not Significant"	0.675179138350489	0.719270241338376
216	"P09457"	"ATP5"	25.8841118145026	26.0289054638485	25.5953401268066	26.2760420287805	26.4681033238525	26.0461438204497	-0.427310589308374	-2.42235571373853	-1.39008994716765	0.0725779508534303	0.206000949446788	0.0736229589361953	0.179734462165582	4	3.19307287071189	0.260826814183617	0.0466769783133669	0.141740109672555	"Not Significant"	"Not Significant"	0.686130777987397	1.13919529771731
217	"P09624"	"LPD1"	21.7656325101291	21.2238791575286	21.0315369864791	20.9041877083323	21.7796055501848	21.38984557002	-0.0175300581334269	-0.0522836290803059	-0.046900743157558	0.960809593641518	0.963868013281287	0.541994223062199	0.563341044417225	4	3.19307287071189	0.260826814183617	0.16862677018765	0.209555239070633	"Not Significant"	"Not Significant"	0.0159824318939109	0.0173626691722072
225	"P0CS90"	"SSC1"	24.1332808357024	23.6741138031902	23.3735831348841	24.5106883624807	25.1400858291297	24.9378665932245	-1.13588767035273	-3.93770763152224	-3.2327225437071	0.0169924939840439	0.0138692355984729	0.0251981910168196	0.0184603690517465	4	3.19307287071189	0.260826814183617	0.124817389515265	0.185193255556876	"Not Significant"	"Not Significant"	1.85794747436387	1.76974287516159
245	"P10174"	"COX7"	20.7480454009283	20.6873107486696	21.049662458711	21.7830477827998	19.0703830382265	21.544911622328	0.028892054984855	0.0330395629422657	0.0407606607481767	0.975225961555083	0.968595080179422	0.546333306369231	0.564295181381627	4	3.19307287071189	0.260826814183617	1.14704257251764	0.753643041274785	"Not Significant"	"Not Significant"	0.0138577412117957	0.0108947458535415
246	"P10507"	"MAS1"	15.8617504098825	17.3354252491791	16.1525621351117	18.8732758780051	19.5033327391757	19.1507339913776	-2.72586827146168	-5.60732745641423	-5.96820921266328	0.00496855877398596	0.000504823771136204	0.0121064176120176	0.00187867708125256	4	3.19307287071189	0.260826814183617	0.354477889005048	0.312905293856888	"Significant"	"Significant"	3.29686020322863	2.30376956846503
247	"P10592"	"SSA2"	15.7765615450218	16.3616693469418	16.0187161718747	17.6200622799233	17.4408691676109	17.6940449573712	-1.53267644702235	-8.25638395385842	-4.93764453605245	0.00117400236173521	0.00155237155201648	0.00528107188800967	0.00380494374454341	4	3.19307287071189	0.260826814183617	0.0516907060038074	0.144528196366827	"Significant"	"Significant"	2.80900432452225	2.93033102941929
248	"P10662"	"MRP1"	20.2647632856601	19.9343070891311	18.7115594341479	21.4663772305559	22.0072038797586	21.2763402661861	-1.94643052252052	-3.73840551726835	-4.07691676789403	0.0201489788602267	0.004444255417517	0.0280543500650854	0.00794524437024917	4	3.19307287071189	0.260826814183617	0.406627038658539	0.34190494426545	"Significant"	"Significant"	2.35220098950826	1.69574695878372
249	"P10663"	"MRP2"	21.9600669994424	20.4230625501963	21.1526413518392	21.3753873662367	22.0371125615231	21.3026813123266	-0.393136779536115	-0.783738369269801	-0.843725688250744	0.477001614266745	0.425988591501778	0.336076555532863	0.314491879197815	4	3.19307287071189	0.260826814183617	0.377429978780397	0.325668734565964	"Not Significant"	"Not Significant"	0.370602031681717	0.321480151219942
251	"P10834"	"PET54"	18.1863560874025	17.97135269677	16.9054810253538	18.264671668524	18.3285609852585	18.9057160493897	-0.811919631215304	-1.82284464291404	-1.87498020600378	0.142405771376221	0.101792658134589	0.130120006907377	0.0997957236342377	4	3.19307287071189	0.260826814183617	0.297589792797796	0.281270359953251	"Not Significant"	"Not Significant"	0.992283544657607	0.846472409392602
252	"P10849"	"MTF2"	20.0306617485433	21.7070827220776	20.7080094979117	20.4233703689182	21.568993337448	21.1565966525782	-0.234402130137271	-0.396606251106183	-0.449914048786028	0.711906724609507	0.666018893683136	0.450880073224787	0.439118989562403	4	3.19307287071189	0.260826814183617	0.523956529674145	0.407150767920783	"Not Significant"	"Not Significant"	0.176513450550507	0.147576904735412
254	"P11914"	"MAS2"	21.7440257209046	21.634137465135	21.1960449493319	22.9420440854654	23.9489560468501	23.5336215561873	-1.95013785104374	-5.7918900504736	-5.20765333408115	0.00441712293113056	0.00114089292748826	0.0117412210986053	0.00314917578097119	4	3.19307287071189	0.260826814183617	0.170051812345976	0.210347691578172	"Significant"	"Significant"	2.94275511209624	2.35486051390241
257	"P12686"	"MRP13"	21.6140969222009	21.3642607861113	20.7512367528206	21.4445539041379	22.2696506332491	21.6071135464078	-0.530574540887258	-1.47504856178391	-1.37389024106502	0.214224642696294	0.210759320101479	0.184228567625409	0.180862978539132	4	3.19307287071189	0.260826814183617	0.194075822776358	0.223707217256384	"Not Significant"	"Not Significant"	0.676213211108228	0.669130572853142
