"id"	"Uniprot"	"Symbol"	"iBAQ.Mrpl4_1"	"iBAQ.Mrpl4_2"	"iBAQ.Mrpl4_3"	"iBAQ.Kgd4_1"	"iBAQ.Kgd4_2"	"iBAQ.Kgd4_3"	"logFC"	"t.ord"	"t.mod"	"p.ord"	"p.mod"	"q.ord"	"q.mod"	"df.r"	"df.0"	"s2.0"	"s2"	"s2.post"	"categ_Ord"	"categ_Mod"	"NegLogPvalMod"	"NegLogPvalOrd"
388	"P32874"	"HFA1"	22.9383154017648	23.5123170610879	23.343265972845	24.2798009885634	24.8757242327645	24.5135825567042	-1.29173644744481	-5.31557763634321	-4.0190984358978	0.00602349402929957	0.00519599107370797	0.00211560874811913	0.00158170356551992	4	2.91433266920007	0.246035637940616	0.0885805057067846	0.154946510606482	"Not Significant"	"Not Significant"	2.28433160368113	2.22015151581001
389	"P32891"	"DLD1"	19.0253721036925	18.1863077210736	19.3655108117001	20.317496525919	21.0104516158462	20.0176729405675	-1.58947681528881	-3.47499442774128	-3.64488614731204	0.0254676189931372	0.00841131804678828	0.0062717075124703	0.00226283914806661	4	2.91433266920007	0.246035637940616	0.313827812073752	0.285253984743694	"Significant"	"Significant"	2.07513594527274	1.59401165599745
390	"P32898"	"CYM1"	14.1595560280588	15.8694974547296	16.2977760628941	19.0536978976833	19.9113305399733	19.0521593906541	-3.8967860942094	-5.46462862713888	-6.46501922741152	0.00545355905395325	0.000363604558852655	0.00199728876556435	0.000222905878989854	4	2.91433266920007	0.246035637940616	0.762751528847952	0.544960156402998	"Significant"	"Significant"	3.43937068025717	2.26331997973809
391	"P32902"	"MRP4"	17.9738767056108	18.2123823877192	17.8313319879477	20.1430792322077	20.307414293992	19.9553207052232	-2.12940771671505	-14.1328127364303	-7.4241005782466	0.000145505211378121	0.000155568702698823	0.00036675523994893	0.000148944602575236	4	2.91433266920007	0.246035637940616	0.0340527113614008	0.12340171983396	"Significant"	"Significant"	3.80807776989358	3.83712145181738
392	"P32904"	"MRPL6"	19.6513390464246	18.7181983846252	20.5536555403127	21.0393233834909	22.3533708504814	21.7636889408775	-2.07773006782912	-3.18647176381977	-3.7014111152221	0.0333283580965605	0.00781052122131412	0.00759631158515606	0.00211503282452869	4	2.91433266920007	0.246035637940616	0.637748373413072	0.472644772451799	"Significant"	"Significant"	2.1073199832818	1.47718608109398
395	"P33303"	"SFC1"	21.7623917718857	22.2944031185574	22.2618401227409	23.8326768123387	24.3919179746318	23.1655793024326	-1.69051302540637	-4.28989506534853	-4.23993527810041	0.0127472137471247	0.0039492420746682	0.0038738504983333	0.0012615298107932	4	2.91433266920007	0.246035637940616	0.232935115092761	0.238456874537338	"Significant"	"Significant"	2.40348624472118	1.89458473181705
397	"P33416"	"HSP78"	17.3653826537822	16.9344510778573	16.8376279331714	18.9886791399825	18.9668827942007	18.6723839036742	-1.83016139101547	-9.55156369490461	-6.08790536799284	0.00067106738934659	0.000521283254871188	0.000582346099721582	0.000257780364431588	4	2.91433266920007	0.246035637940616	0.055070761943759	0.135560840077614	"Significant"	"Significant"	3.28292622564625	3.17323386529776
398	"P33421"	"SDH3"	16.7519076228335	19.2980670439055	19.6141418666718	19.9729517483436	20.8084489064871	19.61030756664	-1.57586389602	-1.61963078256153	-2.00653440457453	0.180625411261572	0.085303232564503	0.0304713596391092	0.0156934514608218	4	2.91433266920007	0.246035637940616	1.42002707764507	0.925199627219873	"Not Significant"	"Not Significant"	1.06903451093886	0.743221151063788
399	"P33759"	"MRPS5"	17.3476732681181	18.9408870737369	18.9257862167302	21.2811036989729	22.1514340626316	21.2252921792291	-3.14782779408279	-5.17992752624702	-5.91956917250501	0.00660664990450953	0.000615454085608975	0.00222907290667385	0.00028899644801195	4	2.91433266920007	0.246035637940616	0.553943950059017	0.424163203882	"Significant"	"Significant"	3.21080434096247	2.18001870644552
401	"P34227"	"PRX1"	20.7227575108275	21.2692796614525	20.7196695672362	23.8154825865134	23.9694778673999	23.7544006709128	-2.94255146176999	-15.2012282107155	-9.76457139651096	0.000109196757478001	2.71263465336617e-05	0.000346974349733341	7.35074551770759e-05	4	2.91433266920007	0.246035637940616	0.0562059166317703	0.136217536677168	"Significant"	"Significant"	4.56660869452132	3.96179025751333
404	"P35180"	"TOM20"	17.3116773703495	16.1734038727282	15.6447012713419	17.4001623122737	17.6378778274824	19.0086474609092	-1.63896836208191	-2.33388769694838	-2.75300407268874	0.0799111270556546	0.0287286769913739	0.0157795357890439	0.00606728002901273	4	2.91433266920007	0.246035637940616	0.739728736519902	0.531641276083221	"Not Significant"	"Significant"	1.54168437361041	1.09739274406004
405	"P35191"	"MDJ1"	17.3028709300169	17.9875415975583	17.5368542828298	20.5050400478242	22.0183183733188	21.2216390389257	-3.63924354988791	-7.56566195308234	-8.07742708404456	0.00163606777685403	9.16166348036128e-05	0.00101601214885377	0.000117128279638189	4	2.91433266920007	0.246035637940616	0.347072046195899	0.304486055696968	"Significant"	"Significant"	4.03802566445976	2.78619870891409
406	"P35996"	"MRPL38"	18.5251996170952	17.813969029905	18.0637637135581	20.8645368108269	21.7850852340789	22.0841738622484	-3.44362118219863	-8.16019474877404	-8.29947605588238	0.00122764654272863	7.71461164089776e-05	0.000848454107064065	0.000114964288287581	4	2.91433266920007	0.246035637940616	0.267128947455119	0.258238296113813	"Significant"	"Significant"	4.11268593174734	2.91092665488746
408	"P36013"	"MAE1"	16.4148280470751	14.0606115018388	16.3723293732527	20.7796456233773	18.7524786523979	19.6691861143191	-4.11784715597591	-4.22840162086628	-5.23902709009563	0.013387172961688	0.0012480719047223	0.0039561028421471	0.000500808419220894	4	2.91433266920007	0.246035637940616	1.4225883346988	0.92668133611429	"Significant"	"Significant"	2.90376039307944	1.87331112550979
410	"P36056"	"RSM22"	18.4654308907116	15.6505749757716	17.8709305696962	17.8732157894968	20.644560458786	19.332215789847	-1.95435186731678	-1.66707755055912	-2.10230277567119	0.17082629506763	0.0741102146490128	0.0292793488327555	0.0140393451040294	4	2.91433266920007	0.246035637940616	2.06150868534538	1.29630216936847	"Not Significant"	"Not Significant"	1.13012192886322	0.767445278121193
411	"P36060"	"MCR1"	22.7547880290648	22.5270722298269	21.38009955123	22.6964242405789	23.7846659939702	23.0183862968142	-0.945838907080544	-1.77132441701318	-1.95493491907551	0.151205860516052	0.0920121051939485	0.0266630023630549	0.016644848265131	4	2.91433266920007	0.246035637940616	0.42769028962627	0.351124392200206	"Not Significant"	"Not Significant"	1.03615503272948	0.820431375895277
414	"P36141"	"FMP46"	21.8495349107818	22.6513434263971	22.5402122473313	24.0022154983306	24.157922956813	23.7449906450837	-1.62134617190572	-5.82779853387116	-4.80388146546376	0.00431871983462064	0.00202541314094128	0.00177486174017382	0.000745001379394815	4	2.91433266920007	0.246035637940616	0.116100395810152	0.170867000070899	"Significant"	"Significant"	2.69348637663184	2.36464496872973
416	"P36151"	"YKR070W"	17.2267161164645	17.2812961737969	17.5203731363397	17.5513945947689	21.2029344805073	19.6468118120815	-2.12425182025215	-2.00067010143951	-2.50116387883676	0.116027716976883	0.0413286894440126	0.0215226859002558	0.00821719056586076	4	2.91433266920007	0.246035637940616	1.69103381941133	1.08197932222845	"Not Significant"	"Significant"	1.38374836622223	0.935438253081289
417	"P36516"	"MRPL3"	22.1817419008586	22.4678453186691	22.8566185340515	22.4481889159623	22.928716429202	22.3755464548447	-0.0820820154766283	-0.313919972103913	-0.248977481001904	0.769271866686889	0.810611855408134	0.106332214040798	0.113792735180268	4	2.91433266920007	0.246035637940616	0.102553240614953	0.163029856072581	"Not Significant"	"Not Significant"	0.0911870488787051	0.113920150008705
418	"P36519"	"MRPL7"	20.257415467563	20.5899400252307	21.5166753323364	22.5149432320292	23.0270035711572	22.0729686605393	-1.75029487953188	-3.74925665644146	-3.9614708097154	0.0199599505173111	0.00558839897008945	0.00512141170596999	0.00164445064847968	4	2.91433266920007	0.246035637940616	0.32690635344559	0.292820031676956	"Significant"	"Significant"	2.25271259605767	1.69984053970623
419	"P36520"	"MRPL10"	19.0633687468075	18.4607198500293	18.832043200701	19.0810620773261	20.7026935224525	20.4876791219056	-1.3051009747155	-2.426053040409	-2.68337840776323	0.0722885082503138	0.0317492323325961	0.0144744539870474	0.00657927932710816	4	2.91433266920007	0.246035637940616	0.434089123182529	0.3548261715981	"Not Significant"	"Not Significant"	1.49826677108848	1.1409307372857
420	"P36521"	"MRPL11"	16.393189324227	18.2982684579237	18.0417981617474	20.0165852428129	20.2365468051281	19.8478158930142	-2.45589733235239	-4.04324412634935	-4.62004009168113	0.0155622486572444	0.00250513504040951	0.00435840536139554	0.0008845977455324	4	2.91433266920007	0.246035637940616	0.553416043498164	0.423857805466211	"Significant"	"Significant"	2.60116885833009	1.80792764970659
