"id"	"Uniprot"	"Symbol"	"iBAQ.Cbp1_1"	"iBAQ.Cbp1_2"	"iBAQ.Cbp1_3"	"iBAQ.Kgd4_1"	"iBAQ.Kgd4_2"	"iBAQ.Kgd4_3"	"logFC"	"t.ord"	"t.mod"	"p.ord"	"p.mod"	"q.ord"	"q.mod"	"df.r"	"df.0"	"s2.0"	"s2"	"s2.post"	"categ_Ord"	"categ_Mod"	"NegLogPvalMod"	"NegLogPvalOrd"
544	"P49095"	"GCV2"	-2.77858666426639	-3.94818591604852	-3.5812523213489	-1.78374580910075	-1.26762440060478	-2.39268254491615	-1.62132404901404	-3.41812889679957	-3.81009172933032	0.0268262298302432	0.00803151960966596	0.0148880767551257	0.00546069056251752	4	2.3212036633054	0.158116233698003	0.337484659530243	0.271618936908452	"Significant"	"Significant"	2.09520227593493	1.57144035897076
547	"P49367"	"LYS4"	-1.24272869473424	-2.1563403888039	-1.5680067425249	-1.51558265920963	-0.666369776802028	-0.128524455926676	-0.885532978041565	-1.82866165295022	-2.04725075640091	0.141447138548444	0.0841805285637179	0.0545143241445897	0.0366748378552118	4	2.3212036633054	0.158116233698003	0.351749931949031	0.280645871130869	"Not Significant"	"Not Significant"	1.07478835167441	0.849405833821632
550	"P50085"	"PHB2"	0.505411974988647	1.05749675379736	1.19381125996762	0.457484469779189	1.01557448433117	0.792870776641724	0.163596752667182	0.615700091007229	0.566545299227903	0.571399755044076	0.590558434991491	0.170492808051842	0.184673574213363	4	2.3212036633054	0.158116233698003	0.105901516978034	0.125075237393407	"Not Significant"	"Not Significant"	0.228737123048344	0.243059950132886
553	"P51998"	"YML6"	3.19908088232187	3.85326788644417	3.53062206703985	1.83464994043965	2.04652168238532	1.91400235092986	1.59593228735035	8.0315413493166	6.32363634918636	0.00130422705197831	0.000595419219640247	0.00205105969324214	0.000890626008176527	4	2.3212036633054	0.158116233698003	0.0592273609667418	0.0955402573501367	"Significant"	"Significant"	3.22517715079614	2.88464679599862
554	"P52893"	"ALT1"	-2.94964831353592	-4.01473624945637	-2.96248257806931	-1.42824862259361	-2.05073680674192	-1.67970265087884	-1.58939302028241	-4.008287369883	-4.27534797542621	0.0160193624286431	0.00464497372822482	0.00988006240851673	0.00365680822519181	4	2.3212036633054	0.158116233698003	0.235850152591591	0.207305548286826	"Significant"	"Significant"	2.33301673801464	1.79535477284805
556	"P53140"	"RMD9"	-3.4927741298308	-4.40382983524296	-4.47713726369873	-4.0294337353997	-2.57624776152302	-4.57335621856318	-0.398234504428865	-0.590007238486685	-0.696416780850093	0.58690387760207	0.51095257574888	0.173668517287838	0.164361525711117	4	2.3212036633054	0.158116233698003	0.683367549024426	0.49049047335461	"Not Significant"	"Not Significant"	0.29161940719671	0.231433021146473
559	"P53171"	"GEP7"	-2.88904216541585	-1.83967949961074	-2.07610662241377	-0.354135629193962	0.0757998066693517	-0.597019362273826	-1.97649103421397	-5.28822460102151	-5.54391318459489	0.00613585657186749	0.00122250806599632	0.00515953094813482	0.00144365000083881	4	2.3212036633054	0.158116233698003	0.209537217230149	0.190654962883803	"Significant"	"Significant"	2.91274826675965	2.21212480074984
560	"P53206"	"YGR012W"	-2.86291297223728	-1.55986552660407	-5.56039801337907	-2.70104073626322	-4.8337682558363	-5.93754972973629	1.16306073653846	0.768567795336694	0.953515744280088	0.485013758549066	0.37535482481841	0.149444917640956	0.126643860445868	4	2.3212036633054	0.158116233698003	3.43503908751653	2.23172311514754	"Not Significant"	"Not Significant"	0.425557997331779	0.314245941444775
561	"P53212"	"YGR021W"	-2.128867955203	-2.64400292857455	-2.76657821744441	-5.64236558169533	-3.85098630073235	-5.52808063971577	2.4939944736405	4.08120720917935	4.755745428797	0.015083476703254	0.00272954735788207	0.00951102025631217	0.00244970849508161	4	2.3212036633054	0.158116233698003	0.560150776573083	0.412520024045016	"Significant"	"Significant"	2.56390936624594	1.82149854314731
562	"P53220"	"TIM21"	-0.179913508399153	-1.87261563201493	-1.73559371607866	-0.254350807029894	-1.80516992114381	-0.0343993152472351	-0.564734271023933	-0.725943109842451	-0.869688045105727	0.508072649723119	0.416268914695356	0.154929238747899	0.138881844317539	4	2.3212036633054	0.158116233698003	0.907766959620984	0.632488372836442	"Not Significant"	"Not Significant"	0.380626019284571	0.294074183153135
567	"P53260"	"GTF1"	-2.67827618705644	-1.77425553592069	-1.9147811972367	-3.04773938991895	-1.80491960535575	-3.45390524029336	0.646417105118075	1.13402139637603	1.30778281403056	0.32014015738501	0.236494286510579	0.105339159810206	0.0838926486946495	4	2.3212036633054	0.158116233698003	0.487387561482562	0.366476125467337	"Not Significant"	"Not Significant"	0.626179346963807	0.494659845890689
570	"P53292"	"MRPS35"	2.86595194324302	3.39890802213084	3.09851356797446	1.548619941229	1.18147824551405	1.42534994891843	1.73597513256228	9.22207598931784	7.02124486854442	0.000768311386940856	0.000330506252175827	0.00203966648327504	0.000631110776457334	4	2.3212036633054	0.158116233698003	0.0531521535722637	0.0916959215444453	"Significant"	"Significant"	3.4808203205663	3.11446273019999
573	"P53305"	"RSM27"	4.25333997718691	4.58974516450465	4.33540708510142	2.37076610635785	3.00142101382626	2.75144291217893	1.68495406480998	8.04428643468919	6.53542187428372	0.00129638161126545	0.000495426840919381	0.00205105969324214	0.000796415339508839	4	2.3212036633054	0.158116233698003	0.0658100677497981	0.0997057341382167	"Significant"	"Significant"	3.30502046818336	2.88726713791643
574	"P53311"	"MPC3"	-4.5102962557267	-3.41768616067376	-3.87264877173314	-0.413355649367251	0.207612026452871	-0.59555939078048	-3.66644272481291	-9.18003805882585	-9.81134716006431	0.00078194309366753	4.67367564078467e-05	0.00203966648327504	0.00022785265652515	4	2.3212036633054	0.158116233698003	0.239272124531327	0.209470940906337	"Significant"	"Significant"	4.33034143150422	3.10682485180645
575	"P53312"	"LSC2"	-1.50192083862544	-1.13930916949666	-1.95423289450649	2.32356358495895	2.43817837923502	2.3308495789061	-3.89601814857622	-16.3275129098774	-14.2511954594356	8.23545983946129e-05	4.83822321987743e-06	0.000612863631910072	8.45315305282421e-05	4	2.3212036633054	0.158116233698003	0.0854069336851983	0.112106452089552	"Significant"	"Significant"	5.31531409857756	4.08431214632239
577	"P53598"	"LSC1"	0.890914260210604	1.34136755628921	1.70379321432005	2.53940430974437	2.64520819488008	2.5772811287458	-1.27527286751679	-5.37761762118748	-4.67869792368642	0.00577782144626932	0.0029658549176305	0.00495864022893923	0.00258426146906049	4	2.3212036633054	0.158116233698003	0.0843563271185272	0.111441637840475	"Not Significant"	"Not Significant"	2.52785009741201	2.2382358834157
580	"P53724"	"MRPL50"	0.136917061646834	0.425510632365526	0.140602921925215	-0.278636356216207	-0.219230243079469	0.188962947164587	0.337311422689555	1.92396829210084	1.39870412024513	0.126691500621162	0.209003446728456	0.049283770220078	0.076250398126898	4	2.3212036633054	0.158116233698003	0.0461060094546947	0.0872371858397428	"Not Significant"	"Not Significant"	0.679846551770256	0.897252519742788
581	"P53732"	"MRPS12"	2.99242950070704	2.9348908935304	2.28295779509702	-1.51013889538363	0.466764192106645	0.75861463079179	2.83167942060655	3.7854476793843	4.51813760258027	0.019344654931088	0.00353569640505236	0.0115855432842386	0.00296561632526806	4	2.3212036633054	0.158116233698003	0.83935355130272	0.589196992294218	"Significant"	"Significant"	2.45152503304556	1.7134390127952
