"iBAQ.Pet309_1"	"iBAQ.Pet309_2"	"iBAQ.Pet309_3"	"iBAQ.Kgd41_1"	"iBAQ.Kgd41_2"	"iBAQ.Kgd41_3"	"id"	"Uniprot"	"Symbol"	"logFC"	"t.ord"	"t.mod"	"p.ord"	"p.mod"	"q.ord"	"q.mod"	"df.r"	"df.0"	"s2.0"	"s2"	"s2.post"	"gene"	"categ_Ord"	"categ_Mod"	"NegLogPvalMod"	"NegLogPvalOrd"
1298000	978770	1105000	2548300	4658500	2451600	399	"P33759"	"MRPS5"	-1.45791523077793	-4.52473995505474	-3.97430787005418	0.0106198466688607	0.00469067701248222	0.0170622805009205	0.00704298810158794	4	3.47859151287114	0.254888530478237	0.155728663352582	0.201851876742039	"MRPS5"	"Not Significant"	"Not Significant"	2.32876447038389	1.97388175362634
1120400	1367000	1232400	14763000	16426000	14151000	401	"P34227"	"PRX1"	-3.60938589929823	-34.4725422606693	-12.3871785777627	4.22498851525157e-06	2.98519545121183e-06	0.000242406277586666	7.18941005537858e-05	4	3.47859151287114	0.254888530478237	0.016444143893745	0.127354148543289	"PRX1"	"Significant"	"Significant"	5.52502722882141	5.37417446725148
214730	0	144390	172970	0	527440	404	"P35180"	"TOM20"	-0.502800197390032	-0.583834288564133	-0.728979424724153	0.590669702658163	0.488210815478224	0.37007106999633	0.31706972684812	4	3.47859151287114	0.254888530478237	1.11250748874858	0.713594668816893	"TOM20"	"Not Significant"	"Not Significant"	0.311392603758479	0.22865530492659
1484400	2322700	1599800	1488100	4247900	2445400	405	"P35191"	"MDJ1"	-0.495572487113977	-1.0312926130235	-1.10114717326493	0.360675561788841	0.305006742505695	0.25446560310206	0.223847629666144	4	3.47859151287114	0.254888530478237	0.346371236555482	0.303818977298228	"MDJ1"	"Not Significant"	"Not Significant"	0.515690559995341	0.442883283076175
5174400	4521400	3427000	1909200	3613800	4446300	406	"P35996"	"MRPL38"	0.462005710832623	1.13633163861429	1.12901479170785	0.319278148498839	0.293801981816548	0.232329596449436	0.217575690409779	4	3.47859151287114	0.254888530478237	0.247956643719001	0.251180941022492	"MRPL38"	"Not Significant"	"Not Significant"	0.531945279038996	0.495830803700195
74657	76910	96970	1800100	441630	833710	408	"P36013"	"MAE1"	-3.40572867933338	-5.69432538881905	-6.54989028415723	0.00469870962627747	0.000239866795129234	0.0113800457803622	0.000872379681239843	4	3.47859151287114	0.254888530478237	0.536570499468292	0.405548968880448	"MAE1"	"Significant"	"Significant"	3.62002986745623	2.32802139294299
756760	925420	687700	240090	1639200	660050	410	"P36056"	"RSM22"	0.296884281181525	0.366395629639019	0.452635622437072	0.732627324508639	0.663651436681518	0.430089035736572	0.397855453006462	4	3.47859151287114	0.254888530478237	0.984838680650287	0.645309720840491	"RSM22"	"Not Significant"	"Not Significant"	0.178059961102706	0.135116887661615
6387300	4081200	2477600	6796800	14451000	8496200	411	"P36060"	"MCR1"	-1.23054263683014	-2.41384672306721	-2.63529699852587	0.0732490829414209	0.0317326464108039	0.0696911603088048	0.0339439817075029	4	3.47859151287114	0.254888530478237	0.389820983189232	0.327058511939996	"MCR1"	"Not Significant"	"Not Significant"	1.49849370748728	1.13519780818851
108810	39986	0	20706	271040	304500	412	"P36101"	"TCD2"	-0.487792211937925	-0.352686026922364	-0.464632438107586	0.742123523280312	0.655420298431573	0.430089035736572	0.397286718180259	4	3.47859151287114	0.254888530478237	2.86935627458995	1.65326293807199	"TCD2"	"Not Significant"	"Not Significant"	0.183480112602234	0.12952380224894
5368700	5827600	4861400	16803000	18718000	14059000	414	"P36141"	"FMP46"	-1.6205256337158	-11.398393519276	-5.40625341444292	0.00033792030924285	0.000804133139323815	0.00274172885723813	0.00207694964304778	4	3.47859151287114	0.254888530478237	0.0303190630611631	0.134775288817384	"FMP46"	"Significant"	"Significant"	3.09467203970097	3.47118570604385
781760	917110	535330	0	2413900	820880	416	"P36151"	"YKR070W"	0.854455811054622	0.455123939647671	0.609664867567071	0.672628429826338	0.560144862095741	0.411878905935781	0.35532729834098	4	3.47859151287114	0.254888530478237	5.28702195948314	2.94637578197166	"YKR070W"	"Not Significant"	"Not Significant"	0.251699643220577	0.172224780411564
4561800	1166000	1521100	5722400	7984200	5441400	417	"P36516"	"MRPL3"	-1.64715336830098	-2.62764544321306	-3.06285555222693	0.058329914794704	0.0168288449532892	0.0584273961694563	0.0196731632852246	4	3.47859151287114	0.254888530478237	0.589421276062658	0.433816739090069	"MRPL3"	"Not Significant"	"Significant"	1.77394569077564	1.23410865796424
5819200	2870100	3343000	5993400	8547100	4411900	418	"P36519"	"MRPL7"	-0.672381521915533	-1.621396919366	-1.62589841427082	0.18025035501304	0.145252133256767	0.153943987866618	0.127124376505267	4	3.47859151287114	0.254888530478237	0.257955095851012	0.256528713856349	"MRPL7"	"Not Significant"	"Not Significant"	0.837877480591064	0.744123871240698
3136200	2150500	477150	554590	1706600	1470300	419	"P36520"	"MRPL10"	0.403158486804529	0.414256665418728	0.526824657882498	0.699936928367912	0.613577241901373	0.424523037709395	0.383279750014538	4	3.47859151287114	0.254888530478237	1.42070484670466	0.878437130088191	"MRPL10"	"Not Significant"	"Not Significant"	0.212130757109838	0.154941092694144
274480	589080	354680	1060700	1235400	943600	420	"P36521"	"MRPL11"	-1.47678131115243	-4.30885817899128	-3.92081436693365	0.0125573627181773	0.00503945747425383	0.019223514010317	0.007363998393467	4	3.47859151287114	0.254888530478237	0.176197294000887	0.212799730017928	"MRPL11"	"Not Significant"	"Not Significant"	2.29761621526481	1.90110156101344
3073400	2905300	1467500	1347000	1279400	1237200	421	"P36523"	"MRPL15"	0.873195737831179	2.53379463521243	2.31265954715315	0.0644042198158991	0.0516676438284664	0.063338909838277	0.0513236405560511	4	3.47859151287114	0.254888530478237	0.178144184286807	0.213841043897724	"MRPL15"	"Not Significant"	"Not Significant"	1.28678134289844	1.19108567638677
6500100	4622000	4279200	8094100	9507200	11765000	422	"P36525"	"MRPL24"	-0.938666772334953	-3.87238379054873	-2.82420499833796	0.017957060415702	0.0239264036671392	0.0240818628291298	0.0262808301915483	4	3.47859151287114	0.254888530478237	0.0881368168067168	0.165699696787011	"MRPL24"	"Not Significant"	"Not Significant"	1.6211225744702	1.74576475618363
3084200	1575100	1094100	3350000	4344400	3968800	423	"P36526"	"MRPL27"	-1.14731218222684	-2.54118942060744	-2.64562071360112	0.0639001332728478	0.0312444612135001	0.0632263513974635	0.0336416567289772	4	3.47859151287114	0.254888530478237	0.305759804303187	0.28209754369277	"MRPL27"	"Not Significant"	"Not Significant"	1.5052269600035	1.19449823605753
9900900	6114100	7343200	7771800	11054000	11369000	424	"P36527"	"MRPL28"	-0.378556709722489	-1.40837573271839	-1.10351051404333	0.231793972715786	0.304043355174433	0.182589215792248	0.223847629666144	4	3.47859151287114	0.254888530478237	0.108371750628812	0.176522554961452	"MRPL28"	"Not Significant"	"Not Significant"	0.51706448359356	0.634897861082982
1843300	1620000	1018400	803620	1910100	873900	425	"P36528"	"MRPL17"	0.393605125514092	0.82843134087922	0.880615560718882	0.453994068633993	0.405934800514319	0.306958131089577	0.275285076863727	4	3.47859151287114	0.254888530478237	0.338609944215864	0.299667771913493	"MRPL17"	"Not Significant"	"Not Significant"	0.391543715316183	0.342949821099623
11215000	7094800	7338500	4119400	15453000	16370000	426	"P36531"	"MRPL36"	-0.278542247676918	-0.407248694038695	-0.485433066123546	0.704677127265779	0.641268751991308	0.424523037709395	0.394924609728653	4	3.47859151287114	0.254888530478237	0.701704093457457	0.493872334960791	"MRPL36"	"Not Significant"	"Not Significant"	0.192959922048117	0.152009824803951
29664000	24463000	18985000	18994000	34635000	18358000	427	"P36533"	"MRPL39"	0.0633303866912496	0.180414957319313	0.166345652874884	0.865598576550895	0.87229364222983	0.488212279927929	0.495699113664582	4	3.47859151287114	0.254888530478237	0.184829146833761	0.217416563451345	"MRPL39"	"Not Significant"	"Not Significant"	0.0593372928968231	0.0626834664202692
