"iBAQ.Cbp1_1"	"iBAQ.Cbp1_2"	"iBAQ.Cbp1_3"	"iBAQ.Kgd41_1"	"iBAQ.Kgd41_2"	"iBAQ.Kgd41_3"	"id"	"Uniprot"	"Symbol"	"logFC"	"t.ord"	"t.mod"	"p.ord"	"p.mod"	"q.ord"	"q.mod"	"df.r"	"df.0"	"s2.0"	"s2"	"s2.post"	"gene"	"categ_Ord"	"categ_Mod"	"NegLogPvalMod"	"NegLogPvalOrd"
3387000	2720900	4316900	8080500	4065000	6611300	113	"P36517"	"MRPL4"	-0.816182101389321	-2.32177682442049	-2.16268554673906	0.0809787100626714	0.0659490581235025	0.0374640063614	0.0330273536037177	4	3.26174390961326	0.248312115949008	0.185363597091248	0.213638065395159	"MRPL4"	"Not Significant"	"Not Significant"	1.18079140261476	1.09162914553656
0	107380	97086	143880	128760	287100	115	"P43617"	"YFR045W"	-1.25399823426437	-2.08007737865808	-2.3932342668295	0.106013661150032	0.0466911793369721	0.0467767692536717	0.0242490254641189	4	3.26174390961326	0.248312115949008	0.545162691563396	0.411826874557562	"YFR045W"	"Not Significant"	"Not Significant"	1.33076515641679	0.974638167001346
1027800	879210	756760	2229200	3967700	2102200	118	"P47127"	"AIM24"	-1.58832731327804	-4.97944266167258	-4.39844850403119	0.00760034481648668	0.00289501191247754	0.00699693261909406	0.00258332424626865	4	3.26174390961326	0.248312115949008	0.152619418954567	0.195601528417679	"AIM24"	"Significant"	"Significant"	2.53834964488555	2.11916670396916
31654	0	60522	0	259830	271570	119	"Q08223"	"AIM39"	-1.83907094672061	-2.82574636610722	-3.31552720399984	0.0475498376211757	0.0121810114335668	0.024484168635201	0.00807596631174446	4	3.26174390961326	0.248312115949008	0.63536292724155	0.461512039333888	"AIM39"	"Significant"	"Significant"	1.91431664915965	1.32285096180433
12992000	11981000	25301000	19133000	37766000	14508000	124	"P00044"	"CYC1"	-0.470811155754288	-0.882067702461571	-0.9789741266806	0.427558477598719	0.359074243682204	0.151625410236374	0.138218229032659	4	3.26174390961326	0.248312115949008	0.427347244403184	0.346930371113399	"CYC1"	"Not Significant"	"Not Significant"	0.444815745605929	0.369004477984681
463310	34999	11862	9912800	7725600	4925700	127	"P00128"	"QCR7"	-6.96775668105143	-4.36569276218368	-5.73232672513525	0.0120084811677726	0.000623217302082957	0.00943495172339715	0.000849626903015414	4	3.26174390961326	0.248312115949008	3.82094577411092	2.21623260591967	"QCR7"	"Significant"	"Significant"	3.20536049805878	1.92051191867269
13697000	10935000	15021000	16995000	24042000	15201000	128	"P00175"	"CYB2"	-0.488346496855279	-2.0249744811026	-1.49718018471638	0.112856493903139	0.1764909313148	0.048747650514862	0.0746716348977398	4	3.26174390961326	0.248312115949008	0.0872385228263063	0.159587646935735	"CYB2"	"Not Significant"	"Not Significant"	0.753277605183381	0.947473446022134
8467300	1463000	2355500	7013400	9953600	6820700	132	"P00359"	"TDH3"	-1.34279570867993	-1.7295916846803	-2.10644950836962	0.158758362792781	0.0717494480320511	0.0660696622883119	0.035390503236751	4	3.26174390961326	0.248312115949008	0.904115617116673	0.609549586909391	"TDH3"	"Not Significant"	"Not Significant"	1.14418143560521	0.799263388435365
117440	0	0	190540	948030	73333	133	"P00360"	"TDH1"	-1.66109199623098	-1.46638747611144	-1.87939993258164	0.216429105304459	0.100740375460647	0.0857624972320931	0.0470874877878313	4	3.26174390961326	0.248312115949008	1.92478020986396	1.17176417638072	"TDH1"	"Not Significant"	"Not Significant"	0.996796434854292	0.664684335879918
419610	235670	418880	3999500	2824100	2103500	134	"P00401"	"COX1"	-3.05461091556264	-7.9263310689951	-7.7297951538567	0.00137128761456491	9.36868386976535e-05	0.0028431417761681	0.000277283501424551	4	3.26174390961326	0.248312115949008	0.222770993442939	0.234243251596875	"COX1"	"Significant"	"Significant"	4.02832141532838	2.86287144651008
1433800	1987800	2479400	6339300	16675000	6179400	135	"P00410"	"COX2"	-2.17679923926653	-4.15209514151598	-4.58142264255106	0.0142360743268648	0.00231033867434289	0.0103798200400931	0.00215977047169874	4	3.26174390961326	0.248312115949008	0.412281094398744	0.338631455485435	"COX2"	"Significant"	"Significant"	2.63632435187533	1.846609753201
267580	119260	133660	4717300	7319800	2849000	138	"P00447"	"SOD2"	-4.83111906033399	-9.01149905336349	-10.0156059160348	0.000839701992537795	1.65122437717105e-05	0.00239157935418172	9.53407184574327e-05	4	3.26174390961326	0.248312115949008	0.431114527111345	0.349005510504186	"SOD2"	"Significant"	"Significant"	4.78219390847783	3.07587481627095
860270	81187	87729	382050	455600	36880	140	"P00560"	"PGK1"	-0.0224012902811527	-0.0138553380148492	-0.0182043041759342	0.989608912063962	0.98596599461123	0.29000988355088	0.311187968726643	4	3.26174390961326	0.248312115949008	3.92105628105806	2.27137666398243	"PGK1"	"Not Significant"	"Not Significant"	0.00613806336241044	0.00453640226053116
13513000	8601000	12839000	56717000	76611000	50075000	141	"P00830"	"ATP2"	-2.3959887144946	-8.71326664209175	-7.03465174571601	0.000955481786785786	0.000172793697243729	0.00256125657450265	0.000353352289865253	4	3.26174390961326	0.248312115949008	0.113422387920202	0.174010554391468	"ATP2"	"Significant"	"Significant"	3.76247210272628	3.01977758696985
2224400	2257000	2304400	18572000	20879000	15609000	143	"P00890"	"CIT1"	-3.01037679192534	-24.5127121891532	-10.4704120213095	1.64354881142611e-05	1.21858466881139e-05	0.000300784650765157	7.47578800594518e-05	4	3.26174390961326	0.248312115949008	0.0226230023853081	0.123995358777262	"CIT1"	"Significant"	"Significant"	4.91414429009839	4.78421739336622
2705700	141070	118860	510900	1180900	850840	144	"P00924"	"ENO1"	-1.16671306898815	-0.775172205499755	-1.0146586865188	0.481513127478365	0.342876836577622	0.166231680413388	0.134086691674964	4	3.26174390961326	0.248312115949008	3.39799706787247	1.98325897781994	"ENO1"	"Not Significant"	"Not Significant"	0.464861853136184	0.317391868220239
225350	0	0	97725	0	0	145	"P00925"	"ENO2"	0.911706425377253	1.41476749241049	1.655993452077	0.230048929620643	0.140147288510732	0.0907648777888562	0.0614126632389625	4	3.26174390961326	0.248312115949008	0.622918380070568	0.454657186105309	"ENO2"	"Not Significant"	"Not Significant"	0.853415300302683	0.63817978309438
850700	387000	545770	1259500	1456100	1382600	146	"P00927"	"ILV1"	-1.27295052030933	-3.80487389158744	-3.45164522183187	0.0190237535125778	0.0100735030432103	0.0122966464868406	0.00686656096077051	4	3.26174390961326	0.248312115949008	0.167893456662691	0.204014955218866	"ILV1"	"Not Significant"	"Not Significant"	1.99681947802815	1.72070378976601
